[mean success],blue_jet_speed,red_jet_speed,blue_jet_sensor_range,red_jet_sensor_range,blue_AEW&C_speed,red_AEW&C_speed,blue_AEW&C_sensor_range,red_AEW&C_sensor_range,blue_GBAD_speed,red_GBAD_speed,blue_GBAD_sensor_range,red_GBAD_sensor_range,blue_GBAD_weapon_range,red_GBAD_weapon_range,blue_AWD_speed,red_AWD_speed,blue_AWD_sensor_range,red_AWD_sensor_range,blue_AWD_weapon_range,red_AWD_weapon_range,blue_subs_speed,red_subs_speed,blue_subs_sensor_range,red_subs_sensor_range,blue_subs_weapons_range,red_subs_weapons_range,AIM120-PK,AIM120-Range,AIM9-PK,AIM9-Range,AGM88-PK,AGM88-Range,AWD-PK,GBAD-PK
0,2209.032578,2710.473916,139.0591255,82.76370591,349.3501873,1226.799354,233.9271076,401.0493385,32.30900167,5.637968552,51.06745906,83.93390546,194.6317616,174.7458888,33.15483721,45.3924626,190.1765923,68.05248102,109.4475974,214.831867,40.19848475,52.3482183,201.6730257,92.63261343,229.4705547,227.0486983,0.738939832,111.6410688,0.683522463,23.56350159,0.631584253,85.66077671,0.5,0.568091333
0,1389.866342,2506.027281,163.4939518,47.50685548,256.6528171,327.6243424,628.065366,322.8969058,3.553258592,21.58235806,48.63326983,137.6332589,197.3906363,196.1656747,47.31080441,37.42227439,239.6720839,282.0915351,157.6986644,212.0343652,28.55337112,37.34689207,74.16971717,178.1573542,123.9010924,95.13963003,0.711740163,121.4987733,0.658193117,36,0.809191593,75.35837829,1,0.582232229
0,1776.386,1877.130994,56.82456581,64.97478783,1268.78232,990.9217961,267.4300256,612.1868343,26.98207974,28.61559211,117.7855636,82.88655521,145.4959161,160.5616566,47.20656257,35.34114951,256.1681224,133.1257196,110.505448,127.3737688,45.30674375,24.04095422,156.3006174,264.4349405,229.7342561,179.8780344,0.98,101.2309343,0.78814628,19.53591588,0.521016774,68.76064905,1,0.667157371
0.91,1996.58556,2431.36966,79.57518626,55.81994194,1286.860311,1210.4591,192.4590604,334.4910447,41.53316714,47.71375685,123.2520879,158.8887157,171.5315689,80.07950383,31.79765332,47.08699068,141.5114862,256.9015083,212.1789559,201.6346864,26.2302515,40.1608846,71.75659707,255.5818132,247.5697955,184.9684343,0.878237363,120.2366253,0.810390714,22.39913187,0.990201408,72.90003501,0.862244161,0.5
0,1605.096009,1659.195025,165.5252513,90.72966907,398.4213947,1101.839345,407.3492124,435.8758757,23.43351395,10.56933666,109.6461821,72.3779437,202.0748835,171.3509696,44.77985412,42.51805093,53.02251913,133.2981432,166.512424,220.7739467,31.72727397,49.27505926,90.09915926,192.7584234,147.3933582,191.7406456,0.794591082,98.68678853,0.48,20.69311152,0.652924727,80.5635398,1,0.5
0,2630.991093,1581.737291,136.0422336,146.0480378,292.7528577,477.1781002,272.3420226,165.1237315,35.61597773,19.04857761,175.375338,120.692378,80.73695443,218.029251,34.99477411,52.31407068,76.05565825,73.63318453,122.0012976,117.3912571,33.83076821,44.58218509,166.8508364,155.3985178,115.281038,230.1148199,0.48,113.5439504,0.98,29.53804054,0.742650828,102.2806925,0.556354082,0.805168051
0.985,2001.580287,1490.809045,141.1400309,89.18670356,768.7890317,203.8594435,360.9475068,181.4478216,13.49319111,21.20288796,92.91266374,100.6454225,144.3923161,101.0598593,35.53663628,35.69931691,64.56854469,104.6288611,192.1863168,224.6168466,50.82650665,49.99745783,155.5108189,103.9324457,92.50884253,214.7485538,0.98,124.5668681,0.48,30.99949699,0.780289513,98.45717554,1,1
0,1972.664687,2290.119604,62.22940922,175.6572005,923.0357893,1031.993576,451.8717601,289.0783082,35.71919405,45.03875922,104.3543176,185.2281483,115.2788301,177.6865138,45.70800887,34.225846,186.5309017,76.51104315,218.4321801,185.7988701,29.92212722,30.37041131,140.5143755,65.5085506,195.6542704,136.8543519,0.48,118.8133366,0.48,30.1589344,0.5,92.79684278,0.810960294,1
0,1505.392471,1417.226235,147.7206929,152.4539405,1308.490681,746.1032366,412.2586921,280.4250911,46.79867866,30.96328725,102.9026272,56.80465609,114.8364762,172.0803094,47.07372927,46.86655296,172.9385034,74.86757503,129.9786385,123.2830345,34.83249569,28.31370179,75.69123198,168.2053011,249.072201,107.9857157,0.525525884,97.6528239,0.920250692,28.89578513,0.5,102.3714837,0.991781493,1
0,1563.279093,1338.044589,57.66506016,62.04425465,1166.844928,1084.997055,154.2114476,403.6477246,29.34671794,5.116468135,151.8378722,99.61349207,153.0118617,214.0082199,48.43487968,48.02569399,282.321296,273.6914365,108.5875846,129.7919121,31.96710571,36.56191538,214.6993227,146.5768145,162.2490441,127.6302169,0.803554565,88.7973168,0.48,24.90314936,0.863620568,84.43319823,0.5,0.673662819
